Crop,Min_pH,Max_pH,Min_Temp_C,Max_Temp_C,Soil_Type,Sand_Min_%,Sand_Max_%,Silt_Min_%,Silt_Max_%,Clay_Min_%,Clay_Max_%
Rice,5.5,7.0,20,35,Clay Loam,20,45,15,53,27,40
Wheat,6.0,7.5,15,25,Loam,23,52,28,50,7,27
Maize,5.8,7.5,18,32,Loam,23,52,28,50,7,27
Ragi,5.0,7.5,20,30,Loam,23,52,28,50,7,27
Sorghum,5.5,8.0,25,35,Loam,23,52,28,50,7,27
Pearl Millet,5.5,8.0,25,35,Sandy Loam,43,85,0,50,0,20
Groundnut,6.0,7.0,20,30,Sandy Loam,43,85,0,50,0,20
Soybean,6.0,7.0,20,30,Loam,23,52,28,50,7,27
Sunflower,6.0,7.5,18,30,Loam,23,52,28,50,7,27
Cotton,5.8,8.0,21,30,Clay Loam,20,45,15,53,27,40
Sugarcane,6.0,7.5,20,35,Loam,23,52,28,50,7,27
Potato,5.0,6.5,15,25,Loam,23,52,28,50,7,27
Tomato,6.0,7.0,18,30,Sandy Loam,43,85,0,50,0,20
Onion,6.0,7.0,13,24,Loam,23,52,28,50,7,27
Carrot,6.0,6.8,16,24,Sandy Loam,43,85,0,50,0,20
Cabbage,6.0,7.5,15,22,Loam,23,52,28,50,7,27
Cauliflower,6.0,7.0,15,25,Loam,23,52,28,50,7,27
Brinjal,5.5,6.8,22,30,Sandy Loam,43,85,0,50,0,20
Chilli,6.0,7.0,20,30,Sandy Loam,43,85,0,50,0,20
Okra,6.0,7.5,24,35,Loam,23,52,28,50,7,27
Cucumber,5.5,7.0,18,30,Sandy Loam,43,85,0,50,0,20
Pumpkin,6.0,7.5,20,32,Loam,23,52,28,50,7,27
Beans,6.0,7.5,18,27,Loam,23,52,28,50,7,27
Peas,6.0,7.5,13,22,Loam,23,52,28,50,7,27
Spinach,6.0,7.5,10,24,Loam,23,52,28,50,7,27
Lettuce,6.0,7.0,10,22,Loam,23,52,28,50,7,27
Banana,5.5,7.0,20,35,Loam,23,52,28,50,7,27
Mango,5.5,7.5,24,35,Loam,23,52,28,50,7,27
Papaya,6.0,7.0,21,33,Loam,23,52,28,50,7,27
Guava,5.0,7.5,20,35,Loam,23,52,28,50,7,27
Pomegranate,5.5,7.5,18,35,Loam,23,52,28,50,7,27
Orange,5.5,7.5,15,32,Loam,23,52,28,50,7,27
Lemon,5.5,7.5,18,35,Loam,23,52,28,50,7,27
Grapes,5.5,7.0,15,35,Loam,23,52,28,50,7,27
Apple,5.5,7.0,7,24,Loam,23,52,28,50,7,27
Pineapple,4.5,6.5,20,30,Sandy Loam,43,85,0,50,0,20
Watermelon,6.0,7.0,22,35,Sandy Loam,43,85,0,50,0,20
Muskmelon,6.0,7.5,20,35,Sandy Loam,43,85,0,50,0,20
Coconut,5.0,8.0,20,35,Sandy Loam,43,85,0,50,0,20
Coffee,5.0,6.5,18,28,Loam,23,52,28,50,7,27
